Reference,Value,Footprint,Qty,MPN
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C16,C17,C18,C19,C21,C23,C25,C27,C30,C32,C34,C36,C38,C39",100nF,Capacitor_SMD:C_0402_1005Metric,24,CL05B104KP5NNNC
"C11,C12,C13,C14,C20,C24,C29,C33,C35",1uF,Capacitor_SMD:C_0402_1005Metric,9,CL05A105KO5NNNC
C15,10uF,Capacitor_SMD:C_0603_1608Metric,1,GRM188R61A106ME69D
"C22,C26,C28,C31,C37",0.01uF,Capacitor_SMD:C_0402_1005Metric,5,GRM155R71C103KA01D
D1,ORANGE,LED_SMD:LED_0402_1005Metric,1,XZMOK68W-2
J1,47272-0001,Footprints:MOLEX_47272-0001,1,472720001
J2,Conn_01x22_Socket,Connector_FFC-FPC:TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal,1,2-1734839-2 / FH12-22S-0.5SH(55)
J3,Conn_02x20_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,1,SFH11-PBPC-D20-ST-BK
"R1,R4,R5,R6,R7,R14",0R,Resistor_SMD:R_0402_1005Metric,6,RC1005J000CS
"R2,R3",4.7k,Resistor_SMD:R_0402_1005Metric,2,RC0402JR-074K7L
R8,1k,Resistor_SMD:R_0402_1005Metric,1,RC0402JR-071KL
R9,348,Resistor_SMD:R_0402_1005Metric,1,ERJ-2RKF3480X
"R10,R13",1M,Resistor_SMD:R_0402_1005Metric,2,ERJ-2RKF1004X
"R11,R12",100k,Resistor_SMD:R_0402_1005Metric,2,RC0402FR-07100KL
"TP1,TP2,TP3,TP4",TP,TestPoint:TestPoint_Pad_2.0x2.0mm,4,
U1,SN65DSI86IPAPRQ1,Footprints:ZQE64_TEX,1,SN65DSI86IPAPRQ1
U2,MCP1700x-180xxTT,Package_TO_SOT_SMD:SOT-23,1,MCP1700T-1802E/TT
U3,MCP1700x-120xxTT,Package_TO_SOT_SMD:SOT-23,1,MCP1700T-1202E/TT
U4,TXB0104RGY,Package_DFN_QFN:Texas_S-PVQFN-N14,1,TXB0104RGYR
U5,74LVC1G07,Package_TO_SOT_SMD:SOT-353_SC-70-5,1,SN74LVC1G07DCKR
X1,ASCO,Oscillator:Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,1,ASCO2-27.000MHZ-EK-T3
