Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",99.440000,-125.640000,0.000000,bottom
"C1","100nF","C_0402_1005Metric",129.400000,-101.110000,90.000000,top
"C2","100nF","C_0402_1005Metric",128.250000,-101.135000,90.000000,top
"C3","100nF","C_0402_1005Metric",127.150000,-101.150000,90.000000,top
"C4","100nF","C_0402_1005Metric",126.100000,-101.150000,90.000000,top
"C5","100nF","C_0402_1005Metric",131.900000,-101.075000,90.000000,top
"C6","100nF","C_0402_1005Metric",130.850000,-101.100000,90.000000,top
"C7","100nF","C_0402_1005Metric",123.525000,-100.820000,90.000000,top
"C8","100nF","C_0402_1005Metric",122.500000,-100.820000,90.000000,top
"C9","100nF","C_0402_1005Metric",121.420000,-100.820000,90.000000,top
"C10","100nF","C_0402_1005Metric",120.300000,-100.815000,90.000000,top
"C11","1uF","C_0402_1005Metric",105.162500,-126.962500,0.000000,top
"C12","1uF","C_0402_1005Metric",104.887500,-121.375000,0.000000,top
"C13","1uF","C_0402_1005Metric",104.987500,-115.500000,0.000000,top
"C14","1uF","C_0402_1005Metric",104.887500,-109.500000,0.000000,top
"C15","10uF","C_0603_1608Metric",116.500000,-119.075000,-90.000000,top
"C16","100nF","C_0402_1005Metric",117.150000,-112.175000,90.000000,top
"C17","100nF","C_0402_1005Metric",117.950000,-118.600000,-90.000000,top
"C18","100nF","C_0402_1005Metric",104.887500,-120.325000,0.000000,top
"C19","100nF","C_0402_1005Metric",104.862500,-119.300000,0.000000,top
"C20","1uF","C_0402_1005Metric",114.800000,-118.000000,-90.000000,top
"C21","100nF","C_0402_1005Metric",120.100000,-107.650000,90.000000,top
"C22","0.01uF","C_0402_1005Metric",131.200000,-107.550000,90.000000,top
"C23","100nF","C_0402_1005Metric",134.400000,-120.100000,0.000000,top
"C24","1uF","C_0402_1005Metric",128.700000,-105.650000,90.000000,top
"C25","100nF","C_0402_1005Metric",123.425000,-123.325000,-90.000000,top
"C26","0.01uF","C_0402_1005Metric",128.200000,-123.280000,-90.000000,top
"C27","100nF","C_0402_1005Metric",135.000000,-110.400000,0.000000,top
"C28","0.01uF","C_0402_1005Metric",134.400000,-118.900000,0.000000,top
"C29","1uF","C_0402_1005Metric",124.975000,-102.900000,0.000000,top
"C30","100nF","C_0402_1005Metric",125.020000,-104.050000,0.000000,top
"C31","0.01uF","C_0402_1005Metric",125.000000,-105.200000,0.000000,top
"C32","100nF","C_0402_1005Metric",131.725000,-127.975000,180.000000,top
"C33","1uF","C_0402_1005Metric",144.500000,-97.400000,0.000000,top
"C34","100nF","C_0402_1005Metric",111.175000,-128.650000,-90.000000,top
"C35","1uF","C_0402_1005Metric",110.050000,-128.675000,-90.000000,top
"C36","100nF","C_0402_1005Metric",111.225000,-124.800000,90.000000,top
"C37","0.01uF","C_0402_1005Metric",138.120000,-100.400000,180.000000,top
"C38","100nF","C_0402_1005Metric",118.600000,-107.650000,-90.000000,top
"C39","100nF","C_0402_1005Metric",113.750000,-108.600000,90.000000,top
"D1","ORANGE","LED_0402_1005Metric",137.500000,-126.400000,90.000000,top
"J1","47272-0001","MOLEX_47272-0001",150.580000,-86.300000,90.000000,top
"J2","Conn_01x22_Socket","TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal",146.225000,-112.625000,90.000000,top
"R1","0R","R_0402_1005Metric",136.470000,-100.000000,90.000000,top
"R2","4.7k","R_0402_1005Metric",112.675000,-130.700000,90.000000,top
"R3","4.7k","R_0402_1005Metric",114.000000,-130.700000,90.000000,top
"R4","0R","R_0402_1005Metric",104.387500,-106.375000,90.000000,top
"R5","0R","R_0402_1005Metric",106.152500,-116.750000,0.000000,top
"R6","0R","R_0402_1005Metric",106.127500,-117.925000,0.000000,top
"R7","0R","R_0402_1005Metric",115.400000,-112.150000,-90.000000,top
"R8","1k","R_0402_1005Metric",135.100000,-126.400000,-90.000000,top
"R9","348","R_0402_1005Metric",136.300000,-126.400000,90.000000,top
"R10","1M","R_0402_1005Metric",144.600000,-101.400000,180.000000,top
"R11","100k","R_0402_1005Metric",132.400000,-99.200000,180.000000,top
"R12","100k","R_0402_1005Metric",130.350000,-99.200000,180.000000,top
"R13","1M","R_0402_1005Metric",144.570000,-98.675000,180.000000,top
"R14","0R","R_0402_1005Metric",116.600000,-110.600000,0.000000,top
"U1","SN65DSI86IPAPRQ1","ZQE64_TEX",126.200000,-114.300000,90.000000,top
"U2","MCP1700x-180xxTT","SOT-23",104.500000,-112.525000,-90.000000,top
"U3","MCP1700x-120xxTT","SOT-23",104.675000,-124.012500,-90.000000,top
"U4","TXB0104RGY","Texas_S-PVQFN-N14",114.300000,-126.600000,90.000000,top
"U5","74LVC1G07","SOT-353_SC-70-5",134.400000,-129.500000,90.000000,top
"X1","ASCO","Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm",115.650000,-108.650000,0.000000,top
