Designator,Mid X,Mid Y,Rotation,Layer
C1,129.4,-101.11,90.0,top
C10,120.3,-100.815,90.0,top
C11,105.1625,-126.9625,0.0,top
C12,104.8875,-121.375,0.0,top
C13,104.9875,-115.5,0.0,top
C14,104.8875,-109.5,0.0,top
C15,116.5,-119.075,270.0,top
C16,117.15,-112.175,90.0,top
C17,117.95,-118.6,270.0,top
C18,104.8875,-120.325,0.0,top
C19,104.8625,-119.3,0.0,top
C2,128.25,-101.135,90.0,top
C20,114.8,-118.0,270.0,top
C21,120.1,-107.65,90.0,top
C22,131.2,-107.55,90.0,top
C23,134.4,-120.1,0.0,top
C24,128.7,-105.65,90.0,top
C25,123.425,-123.325,270.0,top
C26,128.2,-123.28,270.0,top
C27,135.0,-110.4,0.0,top
C28,134.4,-118.9,0.0,top
C29,124.975,-102.9,0.0,top
C3,127.15,-101.15,90.0,top
C30,125.02,-104.05,0.0,top
C31,125.0,-105.2,0.0,top
C32,131.725,-127.975,180.0,top
C33,144.5,-97.4,0.0,top
C34,111.175,-128.65,270.0,top
C35,110.05,-128.675,270.0,top
C36,111.225,-124.8,90.0,top
C37,138.12,-100.4,180.0,top
C38,118.6,-107.65,270.0,top
C39,113.75,-108.6,90.0,top
C4,126.1,-101.15,90.0,top
C5,131.9,-101.075,90.0,top
C6,130.85,-101.1,90.0,top
C7,123.525,-100.82,90.0,top
C8,122.5,-100.82,90.0,top
C9,121.42,-100.82,90.0,top
D1,137.5,-126.4,90.0,top
J1,150.58,-86.3,90.0,top
J2,146.225,-112.625,90.0,top
J3,98.15,-101.54,180.0,bottom
R1,136.47,-100.0,90.0,top
R10,144.6,-101.4,180.0,top
R11,132.4,-99.2,180.0,top
R12,130.35,-99.2,180.0,top
R13,144.57,-98.675,180.0,top
R14,116.6,-110.6,0.0,top
R2,112.675,-130.7,90.0,top
R3,114.0,-130.7,90.0,top
R4,104.3875,-106.375,90.0,top
R5,106.1525,-116.75,0.0,top
R6,106.1275,-117.925,0.0,top
R7,115.4,-112.15,270.0,top
R8,135.1,-126.4,270.0,top
R9,136.3,-126.4,90.0,top
U1,126.2,-114.3,90.0,top
U2,104.5,-112.525,90.0,top
U3,104.675,-124.0125,90.0,top
U4,114.3,-126.6,90.0,top
U5,134.4,-129.5,270.0,top
X1,115.65,-108.65,0.0,top
